Player Full Name,PlayersID,Birth Date,Year Start,Year End,POS,Height (ft),Height (in),Height (cm),HeightwithoutShoes,Wingspan (cm),Standing Reach (cm),Hand Length (inches),Hand Lenght(cm),Hand Width (inches),Hand Width (cm),Weight (lb),Weight (kg),Body Fat (%),College,LaneAgilityTime_sec,ShuttleRun_sec,3quartersprint_sec,StandingVerticalLeap_inches,MaxVerticalLeap_inches,MaxBenchPress_reps,StandingVerticalLeap_cm,MaxVerticalLeap_cm
Andrew Gaze,45,24/07/1965,1994,1999,G,6,7,200.66,197.66,,,,,,,205,92.98643585,,Seton Hall University,,,,,,,,
Andrew Lang,46,28/06/1966,1989,2000,C,6,11,210.82,207.82,,,,,,,245,111.1301307,,University of Arkansas,,,,,,,,
Andrew Toney,47,23/11/1957,1981,1988,G,6,3,190.5,187.5,,,,,,,178,80.73944186,,University of Louisiana at Lafayette,,,,,,,,
Andy Panko,48,27/11/1977,2001,2001,F,6,9,205.74,202.74,,,,,,,222,100.6975061,,Lebanon Valley College,,,,,,,,
Anthony Avent,50,18/10/1969,1993,2000,F,6,9,205.74,202.74,,,,,,,235,106.594207,,Seton Hall University,,,,,,,,
Gary Payton,56,23/07/1968,1991,2007,G,6,4,193.04,190.04,,,,,,,180,81.6466266,,Oregon State University,,,,,,,,
Doug Christie,57,09/05/1970,1993,2007,G-F,6,6,198.12,195.12,,,,,,,200,90.718474,,Pepperdine University,,,,,,,,
Michael Smith,63,19/05/1965,1995,2001,F,6,8,203.2,200.2,,,,,,,230,104.3262451,,Providence College,,,,,,,,
Michael Smith Sr.,63,19/05/1965,1990,1995,F,6,10,208.28,205.28,,,,,,,225,102.0582833,,Brigham Young University,,,,,,,,
Kenny Anderson,72,09/10/1970,1992,2005,G,6,0,182.88,179.88,,,,,,,168,76.20351816,,Georgia Institute of Technology,,,,,,,,
Doug Overton,77,03/08/1969,1993,2004,G,6,3,190.5,187.5,,,,,,,190,86.1825503,,La Salle University,,,,,,,,
Latrell Sprewell,84,08/09/1970,1993,2005,G,6,5,195.58,192.58,,,,,,,190,86.1825503,,University of Alabama,,,,,,,,
Dikembe Mutombo,87,25/06/1966,1992,2009,C,7,2,218.44,215.44,,,,,,,245,111.1301307,,Georgetown University,,,,,,,,
Nick Van Exel,89,27/11/1971,1994,2006,G,6,1,185.42,182.42,,,,,,,170,77.1107029,,University of Cincinnati,,,,,,,,
Hubert Davis,93,17/05/1970,1993,2004,G,6,5,195.58,192.58,,,,,,,183,83.00740371,,University of North Carolina,,,,,,,,
Todd Day,103,07/01/1970,1993,2001,G-F,6,6,198.12,195.12,,,,,,,188,85.27536556,,University of Arkansas,,,,,,,,
Robert Horry,109,25/08/1970,1993,2008,F,6,9,205.74,202.74,,,,,,,220,99.7903214,,University of Alabama,,,,,,,,
Robert Pack,123,03/02/1969,1992,2004,G,6,2,187.96,184.96,,,,,,,180,81.6466266,,University of Southern California,,,,,,,,
Vlade Divac,124,03/02/1968,1990,2005,C,7,1,215.9,212.9,,,,,,,243,110.2229459,,,,,,,,,,
David Wesley,133,14/11/1970,1994,2007,G,6,0,182.88,179.88,,,,,,,190,86.1825503,,Baylor University,,,,,,,,
P.J. Brown,136,14/10/1969,1994,2008,F-C,6,11,210.82,207.82,,,,,,,225,102.0582833,,Louisiana Tech University,,,,,,,,
Tracy Murray,145,25/07/1971,1993,2004,F,6,7,200.66,197.66,,,,,,,225,102.0582833,,"University of California, Los Angeles",,,,,,,,
Jalen Rose,147,30/01/1973,1995,2007,G-F,6,8,203.2,200.2,,,,,,,210,95.2543977,,University of Michigan,,,,,,,,
Chris Mills,168,25/01/1970,1994,2003,F,6,6,198.12,195.12,,,,,,,215,97.52235955,,University of Arizona,,,,,,,,
Olden Polynice,178,21/11/1964,1988,2004,C-F,6,11,210.82,207.82,,,,,,,220,99.7903214,,University of Virginia,,,,,,,,
Chris Webber,185,01/03/1973,1994,2008,F-C,6,9,205.74,202.74,,,,,,,245,111.1301307,,University of Michigan,,,,,,,,
Sam Cassell,208,18/11/1969,1994,2008,G,6,3,190.5,187.5,,,,,,,185,83.91458845,,Florida State University,,,,,,,,
Antonio Davis,213,31/10/1968,1994,2006,F-C,6,9,205.74,202.74,,,,,,,215,97.52235955,,University of Texas at El Paso,,,,,,,,
Eddie Jones,224,20/10/1971,1995,2008,G-F,6,6,198.12,195.12,,,,,,,190,86.1825503,,Temple University,,,,,,,,
Tyrone Hill,238,19/03/1968,1991,2004,F,6,9,205.74,202.74,,,,,,,240,108.8621688,,Xavier University,,,,,,,,
Darrick Martin,239,06/03/1971,1995,2008,G,5,11,180.34,177.34,,,,,,,170,77.1107029,,"University of California, Los Angeles",,,,,,,,
Aaron McKie,243,02/10/1972,1995,2007,G,6,5,195.58,192.58,,,,,,,209,94.80080533,,Temple University,,,,,,,,
George Lynch,248,03/09/1970,1994,2005,F,6,8,203.2,200.2,,,,,,,218,98.88313666,,University of North Carolina,,,,,,,,
Karl Malone,252,24/07/1963,1986,2004,F,6,9,205.74,202.74,,,,,,,250,113.3980925,,Louisiana Tech University,,,,,,,,
Grant Hill,255,05/10/1972,1995,2013,F-G,6,8,203.2,200.2,,,,,,,225,102.0582833,,Duke University,,,,,,,,
Brian Grant,258,05/03/1972,1995,2006,F,6,9,205.74,202.74,,,,,,,254,115.212462,,Xavier University,,,,,,,,
Horace Grant,270,04/07/1965,1988,2004,F-C,6,10,208.28,205.28,,,,,,,215,97.52235955,,Clemson University,,,,,,,,
Allan Houston,275,20/04/1971,1994,2005,G,6,6,198.12,195.12,,,,,,,200,90.718474,,University of Tennessee,,,,,,,,
Stacey Augmon,278,01/08/1968,1992,2006,F-G,6,8,203.2,200.2,,,,,,,205,92.98643585,,"University of Nevada, Las Vegas",,,,,,,,
Scott Williams,281,21/03/1968,1991,2005,F-C,6,10,208.28,205.28,,,,,,,230,104.3262451,,University of North Carolina,,,,,,,,
Lindsey Hunter,283,03/12/1970,1994,2010,G,6,2,187.96,184.96,,,,,,,170,77.1107029,,Jackson State University,,,,,,,,
Anthony Miller,292,22/10/1971,1995,2005,F,6,9,205.74,202.74,,,,,,,225,102.0582833,,Michigan State University,,,,,,,,
Rick Fox,296,24/07/1969,1992,2004,F-G,6,7,200.66,197.66,,,,,,,230,104.3262451,,University of North Carolina,,,,,,,,
Alonzo Mourning,297,08/02/1970,1993,2008,C,6,10,208.28,205.28,,,,,,,240,108.8621688,,Georgetown University,,,,,,,,
Glenn Robinson,299,10/01/1973,1995,2005,F,6,7,200.66,197.66,,,,,,,225,102.0582833,,Purdue University,,,,,,,,
Anthony Peeler,324,25/11/1969,1993,2005,G,6,4,193.04,190.04,,,,,,,208,94.34721296,,University of Missouri,,,,,,,,
Tom Gugliotta,339,19/12/1969,1993,2005,F,6,10,208.28,205.28,,,,,,,240,108.8621688,,North Carolina State University,,,,,,,,
Kevin Pritchard,340,17/07/1967,1991,1996,G,6,3,190.5,187.5,,,,,,,180,81.6466266,,University of Kansas,,,,,,,,
Dana Barros,344,13/04/1967,1990,2004,G,5,11,180.34,177.34,,,,,,,163,73.93555631,,Boston College,,,,,,,,
Mitchell Butler,348,15/12/1970,1994,2004,G-F,6,5,195.58,192.58,,,,,,,210,95.2543977,,"University of California, Los Angeles",,,,,,,,
Mark Jackson,349,01/04/1965,1988,2004,G,6,1,185.42,182.42,,,,,,,180,81.6466266,,St. John's University,,,,,,,,
Darrell Armstrong,353,22/06/1968,1995,2008,G,6,0,182.88,179.88,,,,,,,170,77.1107029,,Fayetteville State University,,,,,,,,
Anfernee Hardaway,358,18/07/1971,1994,2008,G-F,6,7,200.66,197.66,,,,,,,195,88.45051215,,University of Memphis,,,,,,,,
Clifford Robinson,361,16/12/1966,1990,2007,F-C,6,10,208.28,205.28,,,,,,,225,102.0582833,,University of Connecticut,,,,,,,,
Christian Laettner,363,17/08/1969,1993,2005,F-C,6,11,210.82,207.82,,,,,,,235,106.594207,,Duke University,,,,,,,,
Charlie Ward,369,12/10/1970,1995,2005,G,6,2,187.96,184.96,,,,,,,190,86.1825503,,Florida State University,,,,,,,,
Kendall Gill,383,25/05/1968,1991,2005,G,6,5,195.58,192.58,,,,,,,195,88.45051215,,University of Illinois at Urbana-Champaign,,,,,,,,
Calbert Cheaney,384,17/07/1971,1994,2006,G-F,6,7,200.66,197.66,,,,,,,209,94.80080533,,Indiana University,,,,,,,,
Toni Kukoc,389,18/09/1968,1994,2006,F,6,10,208.28,205.28,,,,,,,192,87.08973504,,,,,,,,,,
Rod Strickland,393,11/07/1966,1989,2005,G,6,3,190.5,187.5,,,,,,,175,79.37866475,,DePaul University,,,,,,,,
Reggie Miller,397,24/08/1965,1988,2005,G-F,6,7,200.66,197.66,,,,,,,185,83.91458845,,"University of California, Los Angeles",,,,,,,,
Sean Rooks,399,09/09/1969,1993,2004,C,6,10,208.28,205.28,,,,,,,250,113.3980925,,University of Arizona,,,,,,,,
Shaquille O'Neal,406,06/03/1972,1993,2011,C,7,1,215.9,212.9,,,,,,,325,147.4175203,,Louisiana State University,,,,,,,,
Avery Johnson,422,25/03/1965,1989,2004,G,5,10,177.8,174.8,,,,,,,175,79.37866475,,Southern University and A&M College,,,,,,,,
Juwan Howard,436,07/02/1973,1995,2013,F,6,9,205.74,202.74,,,,,,,240,108.8621688,,University of Michigan,,,,,,,,
Lamond Murray,441,20/04/1973,1995,2006,F,6,7,200.66,197.66,,,,,,,236,107.0477993,,University of California,,,,,,,,
Wesley Person,445,28/03/1971,1995,2005,G,6,6,198.12,195.12,,,,,,,195,88.45051215,,Auburn University,,,,,,,,
Lucious Harris,446,18/12/1970,1994,2005,G,6,5,195.58,192.58,,,,,,,190,86.1825503,,"California State University, Long Beach",,,,,,,,
Bo Outlaw,448,13/04/1971,1994,2008,F,6,8,203.2,200.2,,,,,,,210,95.2543977,,University of Houston,,,,,,,,
Vin Baker,452,23/11/1971,1994,2006,F,6,11,210.82,207.82,,,,,,,232,105.2334298,,University of Hartford,,,,,,,,
Howard Eisley,458,04/12/1972,1995,2006,G,6,2,187.96,184.96,,,,,,,177,80.28584949,,Boston College,,,,,,,,
Popeye Jones,461,17/06/1970,1994,2004,F,6,8,203.2,200.2,,,,,,,250,113.3980925,,Murray State University,,,,,,,,
Jason Kidd,467,23/03/1973,1995,2013,G,6,4,193.04,190.04,,,,,,,205,92.98643585,,University of California,,,,,,,,
Jon Barry,468,25/07/1969,1993,2006,G,6,4,193.04,190.04,,,,,,,195,88.45051215,,Georgia Institute of Technology,,,,,,,,
Jamal Mashburn,469,29/11/1972,1994,2004,F,6,8,203.2,200.2,,,,,,,240,108.8621688,,University of Kentucky,,,,,,,,
Alan Henderson,673,02/12/1972,1996,2007,F,6,9,205.74,202.74,,,,,,,235,106.594207,,Indiana University,,,,,,,,
Eric Williams,677,17/07/1972,1996,2007,F,6,8,203.2,202,224.155,270.51,,,,0,220,129.2738255,0.13,Providence College,11.71,,3.56,28.5,29,17,72.39,73.66
John Amaechi,680,26/11/1970,1996,2003,C-F,6,10,208.28,205.28,,,,,,,270,122.4699399,,Pennsylvania State University,,,,,,,,
Bob Sura,682,25/03/1973,1996,2005,G,6,5,195.58,192.58,,,,,,,200,90.718474,,Florida State University,,,,,,,,
Cherokee Parks,685,11/10/1972,1996,2004,C-F,6,11,210.82,207.82,,,,,,,235,106.594207,,Duke University,,,,,,,,
Antonio McDyess,686,07/09/1974,1996,2011,F-C,6,9,205.74,202.74,,,,,,,220,99.7903214,,University of Alabama,,,,,,,,
Michael Curry,688,22/08/1968,1994,2005,F-G,6,5,195.58,192.58,,,,,,,210,95.2543977,,Georgia Southern University,,,,,,,,
Theo Ratliff,689,17/04/1973,1996,2011,C-F,6,10,208.28,205.28,,,,,,,225,102.0582833,,University of Wyoming,,,,,,,,
Andrew DeClercq,692,01/02/1973,1996,2005,F-C,6,10,208.28,205.28,,,,,,,230,104.3262451,,University of Florida,,,,,,,,
Joe Smith,693,26/07/1975,1996,2011,F,6,10,208.28,205.28,,,,,,,225,102.0582833,,University of Maryland,,,,,,,,
Travis Best,696,12/07/1972,1996,2005,G,5,11,180.34,177.34,,,,,,,182,82.55381134,,Georgia Institute of Technology,,,,,,,,
Fred Hoiberg,697,15/10/1972,1996,2005,G,6,4,193.04,190.04,,,,,,,203,92.07925111,,Iowa State University,,,,,,,,
Brent Barry,699,31/12/1971,1996,2009,G,6,6,198.12,195.12,,,,,,,185,83.91458845,,Oregon State University,,,,,,,,
Voshon Lenard,702,14/05/1973,1996,2006,G,6,4,193.04,190.04,,,,,,,205,92.98643585,,University of Minnesota,,,,,,,,
Kurt Thomas,703,04/10/1972,1996,2013,F,6,9,205.74,202.74,,,,,,,230,104.3262451,,Texas Christian University,,,,,,,,
Kevin Garnett,708,19/05/1976,1996,2016,F-C,6,11,210.82,207.82,,,,,,,240,108.8621688,,,,,,,,,,
Jerry Stackhouse,711,05/11/1974,1996,2013,G-F,6,6,198.12,195.12,,,,,,,218,98.88313666,,University of North Carolina,,,,,,,,
Chris Carr,713,12/03/1974,1996,2001,G,6,5,195.58,192.58,,,,,,,207,93.89362059,,Southern Illinois University,,,,,,,,
Michael Finley,714,06/03/1973,1996,2010,G-F,6,7,200.66,197.66,,,,,,,215,97.52235955,,University of Wisconsin,,,,,,,,
Gary Trent,718,22/09/1974,1996,2004,F,6,8,203.2,194,205,249,8.499999991,21.59,,24.13,250,92.62356195,0.07,Ohio University,11.37,2.99,3.12,33.5,39.5,12,85.09,100.33
Corliss Williamson,722,04/12/1973,1996,2007,F,6,7,200.66,197.66,,,,,,,245,111.1301307,,University of Arkansas,,,,,,,,
Cory Alexander,724,22/06/1973,1996,2005,G,6,1,185.42,182.42,,,,,,,185,83.91458845,,University of Virginia,,,,,,,,
Eric Snow,727,24/04/1973,1996,2008,G,6,3,190.5,187.5,,,,,,,190,86.1825503,,Michigan State University,,,,,,,,
Greg Ostertag,731,06/03/1973,1996,2006,C,7,2,218.44,215.44,,,,,,,280,127.0058636,,University of Kansas,,,,,,,,
Rasheed Wallace,739,17/09/1974,1996,2013,F-C,6,10,208.28,205.28,,,,,,,225,102.0582833,,University of North Carolina,,,,,,,,
Jim Jackson,754,14/10/1970,1993,2006,G,6,6,198.12,195.12,,,,,,,220,99.7903214,,Ohio State University,,,,,,,,
Damon Stoudamire,757,03/09/1973,1996,2008,G,5,10,177.8,174.8,,,,,,,171,77.56429527,,University of Arizona,,,,,,,,
Shawn Bradley,762,22/03/1972,1994,2005,C,7,6,228.6,225.6,,,,,,,235,106.594207,,Brigham Young University,,,,,,,,
Tony Massenburg,763,31/07/1967,1991,2005,F,6,9,205.74,202.74,,,,,,,220,99.7903214,,University of Maryland,,,,,,,,
Glen Rice,779,28/05/1967,1990,2004,F,6,7,200.66,195,206.375,257.81,8.5,21.59,9,22.86,215,95.6172716,0.0845,University of Michigan,10.99,3.08,3.25,33,40.5,10,83.82,102.87
Kevin Willis,788,06/09/1962,1985,2007,F-C,7,0,213.36,210.36,,,,,,,220,99.7903214,,Michigan State University,,,,,,,,
Charles Oakley,891,18/12/1963,1986,2004,F-C,6,8,203.2,200.2,,,,,,,225,102.0582833,,Virginia Union University,,,,,,,,
Bimbo Coles,902,22/04/1968,1991,2004,G,6,1,185.42,182.42,,,,,,,180,81.6466266,,Virginia Polytechnic Institute and State University,,,,,,,,
Dale Davis,905,25/03/1969,1992,2007,F-C,6,11,210.82,207.82,,,,,,,230,104.3262451,,Clemson University,,,,,,,,
Ervin Johnson,911,21/12/1967,1994,2006,C,6,11,210.82,207.82,,,,,,,245,111.1301307,,University of New Orleans,,,,,,,,
Rodney Rogers,915,20/06/1971,1994,2005,F,6,7,200.66,197.66,,,,,,,235,106.594207,,Wake Forest University,,,,,,,,
Corie Blount,916,04/01/1969,1994,2004,F,6,9,205.74,202.74,,,,,,,240,108.8621688,,University of Cincinnati,,,,,,,,
Elden Campbell,922,23/07/1968,1991,2005,C,6,11,210.82,207.82,,,,,,,215,97.52235955,,Clemson University,,,,,,,,
Donyell Marshall,923,18/05/1973,1995,2009,F,6,9,205.74,202.74,,,,,,,218,98.88313666,,University of Connecticut,,,,,,,,
Anthony Goldwire,924,06/09/1971,1996,2006,G,6,1,185.42,182.42,,,,,,,182,82.55381134,,University of Houston,,,,,,,,
Oliver Miller,932,06/04/1970,1993,2004,C,6,9,205.74,202.74,,,,,,,280,127.0058636,,University of Arkansas,,,,,,,,
Derrick Coleman,934,21/06/1967,1991,2005,F,6,10,208.28,205.28,,,,,,,230,104.3262451,,Syracuse University,,,,,,,,
Bryon Russell,935,31/12/1970,1994,2006,F,6,7,200.66,197.66,,,,,,,225,102.0582833,,"California State University, Long Beach",,,,,,,,
Scottie Pippen,937,25/09/1965,1988,2004,F-G,6,8,203.2,200.2,,,,,,,210,95.2543977,,University of Central Arkansas,,,,,,,,
Allen Iverson,947,07/06/1975,1997,2010,G,6,0,182.88,179.88,,,,,,,165,74.84274105,,Georgetown University,,,,,,,,
Marcus Camby,948,22/03/1974,1997,2013,C-F,6,11,210.82,207.82,,,,,,,220,99.7903214,,University of Massachusetts Amherst,,,,,,,,
Shareef Abdur-Rahim,949,11/12/1976,1997,2008,F,6,9,205.74,202.74,,,,,,,225,102.0582833,,University of California,,,,,,,,
Stephon Marbury,950,20/02/1977,1997,2009,G,6,2,187.96,184.96,,,,,,,180,81.6466266,,Georgia Institute of Technology,,,,,,,,
Ray Allen,951,20/07/1975,1997,2014,G,6,5,195.58,192.58,,,,,,,205,92.98643585,,University of Connecticut,,,,,,,,
Antoine Walker,952,12/08/1976,1997,2008,F,6,8,203.2,200.2,,,,,,,224,101.6046909,,University of Kentucky,,,,,,,,
Lorenzen Wright,953,04/11/1975,1997,2009,F-C,6,11,210.82,207.82,,,,,,,225,102.0582833,,University of Memphis,,,,,,,,
Kerry Kittles,954,12/06/1974,1997,2005,G,6,5,195.58,192.58,,,,,,,179,81.19303423,,Villanova University,,,,,,,,
Samaki Walker,955,25/02/1976,1997,2006,F,6,9,205.74,202.74,,,,,,,240,108.8621688,,University of Louisville,,,,,,,,
Erick Dampier,956,14/07/1975,1997,2012,C,6,11,210.82,207.82,,,,,,,265,120.2019781,,Mississippi State University,,,,,,,,
Vitaly Potapenko,958,21/03/1975,1997,2007,C,6,10,208.28,205.28,,,,,,,280,127.0058636,,Wright State University,,,,,,,,
Steve Nash,959,07/02/1974,1997,2014,G,6,3,190.5,187.5,,,,,,,195,88.45051215,,Santa Clara University,,,,,,,,
Tony Delk,960,28/01/1974,1997,2006,G,6,1,185.42,182.42,,,,,,,189,85.72895793,,University of Kentucky,,,,,,,,
John Wallace,961,09/02/1974,1997,2004,F,6,8,203.2,200.2,,,,,,,225,102.0582833,,Syracuse University,,,,,,,,
Walter McCarty,962,01/02/1974,1997,2006,F,6,10,208.28,205.28,,,,,,,230,104.3262451,,University of Kentucky,,,,,,,,
Derek Fisher,965,09/08/1974,1997,2014,G,6,1,185.42,182.42,,,,,,,200,90.718474,,University of Arkansas at Little Rock,,,,,,,,
Jerome Williams,966,10/05/1973,1997,2005,F,6,9,205.74,202.74,,,,,,,206,93.44002822,,Georgetown University,,,,,,,,
Travis Knight,969,13/09/1974,1997,2003,C,7,0,213.36,210.36,,,,,,,235,106.594207,,University of Connecticut,,,,,,,,
Othella Harrington,970,31/01/1974,1997,2008,F-C,6,9,205.74,202.74,,,,,,,235,106.594207,,Georgetown University,,,,,,,,
Jeff McInnis,976,22/10/1974,1997,2008,G,6,4,193.04,190.04,,,,,,,190,86.1825503,,University of North Carolina,,,,,,,,
Kobe Bryant,977,23/08/1978,1997,2016,G-F,6,6,198.12,195.12,,,,,,,212,96.16158244,,,,,,,,,,
Peja Stojakovic,978,09/06/1977,1999,2011,F-G,6,9,205.74,202.74,,,,,,,220,99.7903214,,,,,,,,,,
Jermaine O'Neal,979,13/10/1978,1997,2014,F-C,6,11,210.82,207.82,,,,,,,226,102.5118756,,,,,,,,,,
Zydrunas Ilgauskas,980,05/06/1975,1998,2011,C,7,3,220.98,217.98,,,,,,,238,107.9549841,,,,,,,,,,
Moochie Norris,983,27/07/1973,1997,2006,G,6,1,185.42,182.42,,,,,,,175,79.37866475,,University of West Florida,,,,,,,,
Jason Sasser,987,13/01/1974,1997,1999,F,6,7,200.66,197.66,,,,,,,225,102.0582833,,Texas Tech University,,,,,,,,
Randy Livingston,988,02/04/1975,1997,2007,G,6,4,193.04,190.04,,,,,,,209,94.80080533,,Louisiana State University,,,,,,,,
Malik Rose,990,23/11/1974,1997,2009,F,6,7,200.66,197.66,,,,,,,250,113.3980925,,Drexel University,,,,,,,,
Mark Pope,998,11/09/1972,1998,2005,F,6,10,208.28,205.28,,,,,,,235,106.594207,,University of Kentucky,,,,,,,,
Shandon Anderson,1000,31/12/1973,1997,2006,F-G,6,6,198.12,195.12,,,,,,,208,94.34721296,,University of Georgia,,,,,,,,
Darvin Ham,1032,23/07/1973,1997,2005,F,6,7,200.66,197.66,,,,,,,220,99.7903214,,Texas Tech University,,,,,,,,
Juaquin Hawkins,1038,02/07/1973,2003,2003,G-F,6,7,200.66,197.66,,,,,,,220,99.7903214,,"California State University, Long Beach",,,,,,,,
Amal McCaskill,1043,28/10/1973,1997,2004,F-C,6,11,210.82,207.82,,,,,,,235,106.594207,,Marquette University,,,,,,,,
Shane Heal,1049,06/09/1970,1997,2004,G,6,0,182.88,179.88,,,,,,,180,81.6466266,,,,,,,,,,
Ben Handlogten,1052,16/11/1973,2004,2005,C,6,10,208.28,205.28,,,,,,,240,108.8621688,,Western Michigan University,,,,,,,,
Erick Strickland,1065,25/11/1973,1997,2005,G,6,3,190.5,187.5,,,,,,,210,95.2543977,,University of Nebraska,,,,,,,,
Chucky Atkins,1088,14/08/1974,2000,2010,G,5,11,180.34,177.34,,,,,,,160,72.5747792,,University of South Florida,,,,,,,,
Mark Strickland,1110,14/07/1970,1995,2003,F,6,9,205.74,202.74,,,,,,,210,95.2543977,,Temple University,,,,,,,,
Ben Wallace,1112,10/09/1974,1997,2012,F-C,6,9,205.74,202.74,,,,,,,240,108.8621688,,Virginia Union University,,,,,,,,
Aaron Williams,1425,02/10/1971,1994,2008,F-C,6,9,205.74,202.74,,,,,,,220,99.7903214,,Xavier University,,,,,,,,
Zeljko Rebraca,1442,09/04/1972,2002,2006,C,7,0,213.36,210.36,,,,,,,257,116.5732391,,,,,,,,,,
Lawrence Funderburke,1444,15/12/1970,1998,2005,F,6,9,205.74,202.74,,,,,,,230,104.3262451,,Ohio State University,,,,,,,,
Bruce Bowen,1477,14/06/1971,1997,2009,F,6,7,200.66,197.66,,,,,,,185,83.91458845,,"California State University, Fullerton",,,,,,,,
Tim Duncan,1495,25/04/1976,1998,2016,F-C,6,11,210.82,207.82,,,,,,,250,113.3980925,,Wake Forest University,,,,,,,,
Keith Van Horn,1496,23/10/1975,1998,2006,F,6,10,208.28,205.28,,,,,,,220,99.7903214,,University of Utah,,,,,,,,
Chauncey Billups,1497,25/09/1976,1998,2014,G,6,3,190.5,187.5,,,,,,,202,91.62565874,,University of Colorado,,,,,,,,
Antonio Daniels,1498,19/03/1975,1998,2011,G,6,4,193.04,190.04,,,,,,,195,88.45051215,,Bowling Green State University,,,,,,,,
Tony Battie,1499,11/02/1976,1998,2012,C-F,6,11,210.82,207.82,,,,,,,230,104.3262451,,Texas Tech University,,,,,,,,
Ron Mercer,1500,18/05/1976,1998,2005,G-F,6,7,200.66,197.66,,,,,,,210,95.2543977,,University of Kentucky,,,,,,,,
Tim Thomas,1501,26/02/1977,1998,2010,F,6,10,208.28,205.28,,,,,,,230,104.3262451,,Villanova University,,,,,,,,
Adonal Foyle,1502,09/03/1975,1998,2009,C,6,10,208.28,205.28,,,,,,,250,113.3980925,,Colgate University,,,,,,,,
Tracy McGrady,1503,24/05/1979,1998,2012,F-G,6,8,203.2,200.2,,,,,,,210,95.2543977,,,,,,,,,,
